Date,Housing Cost Index,Interest Rate (%),Inflation Rate (%),Employment Levels (000s),Growth in Wage (%),GDP Growth Rate (%)
2020-01-31,21714.4759309256,4.6532549062049045,2.3339966867645767,31134.113892107078,6.335157480612243,0.3310133914073856
2020-02-29,21810.9236518245,3.9117025324440555,2.5926747743637732,26670.339460920753,4.893377042861967,2.686408686387331
2020-03-31,21903.643198607064,4.372438724545729,3.1495824117516915,34911.68626136977,4.193077095947952,4.958975528548173
2020-04-30,22004.871310697858,1.671302888299009,4.679422465651042,27316.717013834434,5.626288302075682,2.6328743289456504
2020-05-31,22139.59118919796,1.2500431157272338,2.385383977463845,34427.31774135126,4.433344707123514,1.9044839215901743
2020-06-30,22211.582211309084,0.5799956611733506,2.3878128075849108,31496.466489923685,6.367116190408303,3.1145535716747226
2020-07-31,22321.8761141647,2.4282315734362836,3.9500049924389935,31077.36794878859,6.503509320056293,1.2564392859860272
2020-08-31,22397.685376096855,3.744547277700482,2.8088717635592286,30126.885110165087,4.108604634367277,-1.5790036017945035
2020-09-30,22490.606398110012,2.657342248048528,1.8984192917599279,27306.698117177588,3.384138986175258,1.9360777111453684
2020-10-31,22606.940657064522,2.9061120711305097,2.8097580645307736,26765.280320055084,4.961751642966811,4.703376991537661
2020-11-30,22707.904857350954,5.472872819715616,1.5634280815191994,27204.862090701754,6.561816728083455,-0.7728794034963826
2020-12-31,22791.738685682012,2.415405068628152,1.7055479460248932,26864.382621442546,3.0533109450283327,2.8300342357446606
2021-01-31,22881.009130043112,3.3269421903789596,2.993471090957919,32795.84473566753,5.114832917817414,-0.5934641793866047
2021-02-28,22991.20309627713,4.8100915700762865,2.6757017980181916,28501.2525916673,5.157801100462603,1.750793791311569
2021-03-31,23080.247596801375,2.680985302766986,4.6593836042724,25578.426765633965,5.665565112076405,-1.3232648524729627
2021-04-30,23183.494475645104,3.921476851253304,2.4495755964665324,34691.026301408114,2.657838425636299,1.152596553807296
2021-05-31,23284.17805324366,5.243000398107099,3.322353401112174,33837.858849634256,5.579124823410442,3.2931433022667225
2021-06-30,23374.404048029573,5.722363430117031,3.5290571516781215,34277.52283195213,6.545162603328205,0.4330006696728743
2021-07-31,23506.563209369455,1.3089041451097088,1.0523778263533345,34949.07822646435,2.89841554435121,2.6543820714105264
2021-08-31,23616.071994704223,5.596231938388219,3.6541494880668424,26738.952492194872,3.187716624619388,3.5681497255281043
2021-09-30,23685.69485590436,3.20663961193746,1.7121438674790057,28962.420189026587,6.856975470208198,4.490244736356169
2021-10-31,23788.4916706259,1.920344135644271,4.84428126987782,32582.384757040913,2.904884763547449,-0.3575054270118252
2021-11-30,23878.564873654374,3.025246659310437,1.5946509110124518,31960.206180537924,6.271925466847896,0.7952114106651571
2021-12-31,23991.351373676316,5.8901791640701235,2.658496494908095,26538.95906339855,4.461389282240174,-0.9330879066870779
2022-01-31,24079.463562599827,3.209399516960783,1.3413986723145754,33158.33124990618,3.2361553720158853,4.947384515108626
2022-02-28,24177.742515977825,2.3081338565812954,4.987497007383789,27244.40571836661,6.353749506362557,4.4890067754700675
